"unnamed (69).jpg,Party,""Elegant gala dinner"",vestido de coquetel, terno escuro, bolsa clutch, salto"
"unnamed (70).jpg,Party,""Rooftop bar cocktails"",roupa de sair, blazer casual, vestido midi, drink"
"unnamed (71).jpg,Winter,""Snowy mountain landscape"",roupa de esqui, casaco de pena, gorro, luvas, botas de neve"
"unnamed (72).jpg,Winter,""Winter cabin fireplace"",sueter de la, pijama de inverno, meias grossas, caneca"
"unnamed (73).jpg,Winter,""Rainy window city view"",capa de chuva, guarda-chuva, botas de chuva, trench coat"
"unnamed (74).jpg,Winter,""Foggy London bridge"",sobretudo classico, cachecol xadrez, boina, luvas de couro"
"unnamed (75).jpg,Winter,""Christmas market night"",casaco vermelho, gorro, cachecol, roupas de natal"
"unnamed (76).jpg,Social,""Private jet interior"",roupas de luxo, bolsas de marca, oculos escuros, champagne"
"unnamed (77).jpg,Social,""Walk-in closet luxury"",lingerie, roupao, provando roupas, sapatos, bolsas"
"unnamed (78).jpg,Social,""Shoe closet display"",sapatos de salto, tenis de colecao, botas, sandalias"
"unnamed (79).jpg,Fitness,""Neon shoe display shelf"",tenis esportivos, tenis de corrida, sneakers"
"unnamed (80).jpg,Social,""Luxury shoe store shelves"",sapatos de luxo, scarpin, mocassim, loafer"
"unnamed (81).jpg,Urban,""Sneaker wall store"",tenis street, jordan, nike, adidas, colecao"
"unnamed (82).jpg,Urban,""Modern sneaker showroom"",tenis futuristas, lancamentos, calcados"
"unnamed (83).jpg,Urban,""Street pavement close up"",tenis, botas, sapatos, foco nos pes, caminhar"
"unnamed (84).jpg,Beach,""Sand texture close up"",chinelo, pes descalcos, tornozeleira, areia"
